PeakID (cmd=annotatePeaks.pl filtrd_peaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-905	chr1	151031165	151031380	+	1	NA	promoter-TSS (NM_006818)	promoter-TSS (NM_006818)	853	NM_020239	56882	Hs.22065	NM_020239	ENSG00000197622	CDC42SE1	SCIP1|SPEC1	CDC42 small effector 1	protein-coding
chr17-645	chr17	70680175	70680395	+	1	NA	intron (NM_001352693, intron 7 of 9)	intron (NM_001352693, intron 7 of 9)	-43674	NR_033876	400619	Hs.447555	NR_033876	ENSG00000227036	LINC00511	LCAL5|onco-lncRNA-12	long intergenic non-protein coding RNA 511	ncRNA
chr3-958	chr3	112710063	112710225	+	1	NA	exon (NM_138485, exon 1 of 5)	exon (NM_138485, exon 1 of 5)	344	NM_138485	29083	Hs.127496	NM_014170	ENSG00000163607	GTPBP8	HSPC135	GTP binding protein 8 (putative)	protein-coding
chr3-601	chr3	150803274	150803445	+	1	NA	Intergenic	CpG	-1226	NM_053002	116931	Hs.744234	NM_053002	ENSG00000144893	MED12L	NOPAR|TNRC11L|TRALP|TRALPUSH	mediator complex subunit 12 like	protein-coding
chr17-670	chr17	38732392	38732586	+	1	NA	Intergenic	LTR33A|LTR|ERVL	-10753	NM_001301714	1236	Hs.370036	NM_001838	ENSG00000126353	CCR7	BLR2|CC-CKR-7|CCR-7|CD197|CDw197|CMKBR7|EBI1	C-C motif chemokine receptor 7	protein-coding
chr11-26	chr11	1793823	1794037	+	1	NA	Intergenic	Intergenic	-8708	NM_001909	1509	Hs.654447	NM_001909	ENSG00000117984	CTSD	CLN10|CPSD|HEL-S-130P	cathepsin D	protein-coding
chr4-99	chr4	39529513	39529609	+	1	NA	promoter-TSS (NM_001184701)	promoter-TSS (NM_001184701)	102	NR_047679	100885776	Hs.640769	NR_047679	ENSG00000249348	UGDH-AS1	-	UGDH antisense RNA 1	ncRNA
chr20-977	chr20	48685026	48685237	+	1	NA	Intergenic	Intergenic	-26965	NR_051976	100887755	Hs.195705	NR_051976		TRERNA1	LINC00651|treRNA	translation regulatory long non-coding RNA 1	ncRNA
chr3-57	chr3	87416972	87417171	+	1	NA	Intergenic	Intergenic	-91334	NM_001122757	5449	Hs.591654	NM_000306	ENSG00000064835	POU1F1	CPHD1|GHF-1|PIT1|POU1F1a|Pit-1	POU class 1 homeobox 1	protein-coding
chr16-713	chr16	75032729	75032811	+	1	NA	promoter-TSS (NM_032268)	promoter-TSS (NM_032268)	-145	NM_032268	84937	Hs.427284	NM_032268	ENSG00000186187	ZNRF1	NIN283	zinc and ring finger 1	protein-coding
chr10-8	chr10	5656024	5656214	+	1	NA	Intergenic	Intergenic	-18038	NR_134491	105376382	Hs.460282	NR_134491	ENSG00000242147	LOC105376382	-	uncharacterized LOC105376382	ncRNA
chr8-280	chr8	86495271	86495469	+	1	NA	Intergenic	AluJr|SINE|Alu	72535	NR_003594	100288527	Hs.535056	NR_003594		REXO1L2P	-	REXO1 like 2, pseudogene	pseudo
chr9-126	chr9	110099341	110099557	+	1	NA	Intergenic	Intergenic	52399	NM_001244713	5887	Hs.521640	NM_002874	ENSG00000119318	RAD23B	HHR23B|HR23B|P58	RAD23 homolog B, nucleotide excision repair protein	protein-coding
chr1-204	chr1	38455775	38455995	+	1	NA	promoter-TSS (NM_001320830)	promoter-TSS (NM_001320830)	-103	NM_006802	10946	Hs.77897	NM_006802	ENSG00000183431	SF3A3	PRP9|PRPF9|SAP61|SF3a60	splicing factor 3a subunit 3	protein-coding
chr11-349	chr11	67147058	67147278	+	1	NA	intron (NR_024469, intron 2 of 3)	intron (NR_024469, intron 2 of 3)	-5520	NM_001166212	23529	Hs.502977	NM_013246	ENSG00000175505	CLCF1	BSF-3|BSF3|CISS2|CLC|NNT-1|NNT1|NR6	cardiotrophin like cytokine factor 1	protein-coding
chr16-86	chr16	80649822	80650021	+	1	NA	intron (NM_152342, intron 4 of 6)	intron (NM_152342, intron 4 of 6)	-43216	NR_104666	101928276	Hs.149769	NR_104665	ENSG00000260737	LINC01227	-	long intergenic non-protein coding RNA 1227	ncRNA
chr14-484	chr14	89507583	89507755	+	1	NA	Intergenic	Intergenic	217172	NM_144596	123016	Hs.303055	NM_144596	ENSG00000165533	TTC8	BBS8|RP51	tetratricopeptide repeat domain 8	protein-coding
chr12-340	chr12	121665336	121665439	+	1	NA	intron (NM_001261398, intron 5 of 10)	intron (NM_001261398, intron 5 of 10)	17723	NM_002560	5025	Hs.321709	NM_002560	ENSG00000135124	P2RX4	P2X4|P2X4R	purinergic receptor P2X 4	protein-coding
chr9-555	chr9	132404526	132404654	+	1	NA	promoter-TSS (NM_017873)	promoter-TSS (NM_017873)	-142	NM_001202403	140459	Hs.125037	NM_017873	ENSG00000148331	ASB6	-	ankyrin repeat and SOCS box containing 6	protein-coding
chr19-98	chr19	48018640	48018798	+	1	NA	promoter-TSS (NM_003827)	promoter-TSS (NM_003827)	-204	NM_003827	8775	Hs.126938	NM_003827	ENSG00000105402	NAPA	SNAPA	NSF attachment protein alpha	protein-coding
chr17-677	chr17	48793829	48793947	+	1	NA	Intergenic	Intergenic	-3017	NM_001330330	51747	Hs.130293	NM_006107	ENSG00000108848	LUC7L3	CRA|CREAP-1|CROP|LUC7A|OA48-18|hLuc7A	LUC7 like 3 pre-mRNA splicing factor	protein-coding
chr14-29	chr14	24658036	24658255	+	1	NA	promoter-TSS (NM_024658)	promoter-TSS (NM_024658)	-21	NR_051979	79711	Hs.411865	NM_024658	ENSG00000196497	IPO4	Imp4	importin 4	protein-coding
chr1-528	chr1	151253810	151253992	+	1	NA	promoter-TSS (NM_020832)	promoter-TSS (NM_020832)	-130	NM_001304764	57592	Hs.186756	NM_020832	ENSG00000143373	ZNF687	PDB6	zinc finger protein 687	protein-coding
chr1-228	chr1	117037061	117037279	+	1	NA	Intergenic	Intergenic	-15722	NR_125973	101929023	Hs.668091	NR_125972	ENSG00000233154	LINC01762	-	long intergenic non-protein coding RNA 1762	ncRNA
chr20-450	chr20	55926208	55926397	+	1	NA	promoter-TSS (NM_001015885)	promoter-TSS (NM_001015885)	157	NM_003610	8480	Hs.371698	NM_003610	ENSG00000101146	RAE1	MIG14|MRNP41|Mnrp41|dJ481F12.3|dJ800J21.1	ribonucleic acid export 1	protein-coding
chr11-388	chr11	75210792	75210929	+	1	NA	intron (NM_001351168, intron 1 of 17)	intron (NM_001351168, intron 1 of 17)	25758	NM_030792	81544	Hs.503297	NM_030792	ENSG00000158555	GDPD5	GDE2|PP1665	glycerophosphodiester phosphodiesterase domain containing 5	protein-coding
chr8-641	chr8	135490853	135491057	+	1	NA	exon (NM_001174158, exon 14 of 14)	exon (NM_001174158, exon 14 of 14)	-119359	NR_002438	594840	Hs.626298	NR_002438	ENSG00000248492	ZFAT-AS1	NCRNA00070|SAS-ZFAT|ZFAT-AS|ZFATAS	ZFAT antisense RNA 1	ncRNA
chr9-51	chr9	90691767	90691962	+	1	NA	intron (NR_135138, intron 1 of 1)	CpG	951	NR_135137	102724156	Hs.633031	NR_135137		LOC102724156	-	uncharacterized LOC102724156	ncRNA
chr14-94	chr14	24563215	24563405	+	1	NA	promoter-TSS (NM_001291556)	promoter-TSS (NM_001291556)	-30	NM_001018073	5106	Hs.75812	NM_004563	ENSG00000100889	PCK2	PEPCK|PEPCK-M|PEPCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	protein-coding
chr6-259	chr6	2245191	2245381	+	1	NA	promoter-TSS (NR_046229)	promoter-TSS (NR_046229)	582	NM_001500	2762	Hs.144496	NM_001500	ENSG00000112699	GMDS	GMD|SDR3E1	GDP-mannose 4,6-dehydratase	protein-coding
chr19-55	chr19	47104262	47104417	+	1	NA	promoter-TSS (NM_005184)	promoter-TSS (NM_005184)	8	NM_001329921	808	Hs.515487	NM_005184	ENSG00000160014	CALM3	CaM|CaMIII|HEL-S-72|PHKD|PHKD3	calmodulin 3	protein-coding
chr2-397	chr2	131762322	131762483	+	1	NA	intron (NM_032995, intron 3 of 11)	intron (NM_032995, intron 3 of 11)	87432	NM_032995	50649	Hs.469935	NM_015320	ENSG00000136002	ARHGEF4	ASEF|ASEF1|GEF4|STM6	Rho guanine nucleotide exchange factor 4	protein-coding
chr12-25	chr12	120574305	120574500	+	1	NA	exon (NM_006836, exon 51 of 58)	exon (NM_006836, exon 51 of 58)	18901	NR_039719	100616179		NR_039719	ENSG00000266704	MIR4498	mir-4498	microRNA 4498	ncRNA
chr16-50	chr16	74401964	74402151	+	1	NA	promoter-TSS (NR_026950)	promoter-TSS (NR_026950)	96	NR_026950	283922	Hs.558726	NR_026950	ENSG00000214331	LOC283922	-	pyruvate dehydrogenase phosphatase regulatory subunit pseudogene	pseudo
chr5-34	chr5	141229461	141229494	+	1	NA	Intergenic	CpG	16290	NM_001278615	5097	Hs.79769	NM_002587	ENSG00000156453	PCDH1	PC42|PCDH42	protocadherin 1	protein-coding
chr14-156	chr14	60558870	60559059	+	1	NA	5' UTR (NM_022495, exon 1 of 10)	5' UTR (NM_022495, exon 1 of 10)	335	NM_022495	64430	Hs.509499	NM_022495	ENSG00000126773	PCNX4	C14orf135|FBP2|PCNXL4	pecanex homolog 4	protein-coding
chr5-115	chr5	55725119	55725159	+	1	NA	Intergenic	MLT1L|LTR|ERVL-MaLR	52457	NR_104664	102467147	Hs.650177	NR_104664	ENSG00000248727	LINC01948	-	long intergenic non-protein coding RNA 1948	ncRNA
chr10-11	chr10	69644220	69644420	+	1	NA	promoter-TSS (NM_012238)	promoter-TSS (NM_012238)	-107	NM_012238	23411	Hs.369779	NM_012238	ENSG00000096717	SIRT1	SIR2|SIR2L1|SIR2alpha	sirtuin 1	protein-coding
chr1-68	chr1	180471917	180472085	+	1	NA	promoter-TSS (NM_032360)	promoter-TSS (NM_032360)	21	NM_032360	84320	Hs.200051	NM_032360	ENSG00000230124	ACBD6	-	acyl-CoA binding domain containing 6	protein-coding
chr4-149	chr4	2585381	2585601	+	1	NA	Intergenic	L1MCa|LINE|L1	-41668	NM_001256668	8603	Hs.652364	NM_003704	ENSG00000125386	FAM193A	C4orf8|RES4-22	family with sequence similarity 193 member A	protein-coding
chr11-156	chr11	67777547	67777757	+	1	NA	promoter-TSS (NM_001030010)	promoter-TSS (NM_001030010)	-123	NM_001290059	221	Hs.523841	NM_000694	ENSG00000006534	ALDH3B1	ALDH4|ALDH7	aldehyde dehydrogenase 3 family member B1	protein-coding
chr3-75	chr3	9791602	9791761	+	1	NA	promoter-TSS (NM_016821)	promoter-TSS (NM_016821)	53	NM_001354648	4968	Hs.380271	NM_002542	ENSG00000114026	OGG1	HMMH|HOGG1|MUTM|OGH1	8-oxoguanine DNA glycosylase	protein-coding
chr17-272	chr17	73468287	73468502	+	1	NA	intron (NM_001351202, intron 2 of 31)	intron (NM_001351202, intron 2 of 31)	-4185	NM_001351203	9772	Hs.514474	NM_014738	ENSG00000177728	TMEM94	KIAA0195	transmembrane protein 94	protein-coding
chr7-48	chr7	135194827	135195046	+	1	NA	promoter-TSS (NM_001190850)	promoter-TSS (NM_001190850)	-61	NM_001190848	4850	Hs.490224	NM_013316	ENSG00000080802	CNOT4	CLONE243|NOT4|NOT4H	CCR4-NOT transcription complex subunit 4	protein-coding
chr16-306	chr16	85355654	85355817	+	1	NA	Intergenic	Intergenic	-15804	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
chr17-686	chr17	55435551	55435756	+	1	NA	intron (NM_170721, intron 4 of 9)	intron (NM_170721, intron 4 of 9)	101279	NM_170721	124540	Hs.658922	NM_138962	ENSG00000153944	MSI2	MSI2H	musashi RNA binding protein 2	protein-coding
chr1-61	chr1	35291398	35291505	+	1	NA	Intergenic	Intergenic	32852	NM_002060	2701	Hs.296310	NM_002060	ENSG00000187513	GJA4	CX37	gap junction protein alpha 4	protein-coding
chr9-29	chr9	15422584	15422759	+	1	NA	promoter-TSS (NM_001039697)	promoter-TSS (NM_001039697)	-111	NM_001039697	6619	Hs.546299	NM_003084	ENSG00000164975	SNAPC3	PTFbeta|SNAP50	small nuclear RNA activating complex polypeptide 3	protein-coding
chr17-507	chr17	49012774	49012932	+	1	NA	Intergenic	Intergenic	-67514	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
chr17-509	chr17	55977222	55977441	+	1	NA	intron (NM_001271875, intron 1 of 10)	intron (NM_001271875, intron 1 of 10)	3419	NM_001292025	404093	Hs.46679	NM_001271875	ENSG00000180891	CUEDC1	-	CUE domain containing 1	protein-coding
chr8-119	chr8	144097357	144097525	+	1	NA	intron (NR_026913, intron 1 of 1)	MER21A|LTR|ERVL	2366	NR_026913	100133669	Hs.195309	NR_026913		LY6E-DT	-	LY6E divergent transcript	ncRNA
chr1-525	chr1	150980755	150980807	+	1	NA	promoter-TSS (NM_001303229)	promoter-TSS (NM_001303229)	73	NM_001163258	55793	Hs.743952	NM_018379	ENSG00000143409	MINDY1	FAM63A|MINDY-1	MINDY lysine 48 deubiquitinase 1	protein-coding
chr15-125	chr15	90709028	90709081	+	1	NA	Intergenic	Intergenic	-19098	NM_001324030	10509	Hs.474935	NM_020210	ENSG00000185033	SEMA4B	SEMAC|SemC	semaphorin 4B	protein-coding
chr9-328	chr9	134609684	134609844	+	1	NA	intron (NM_001304275, intron 1 of 23)	MIRc|SINE|MIR	3161	NM_005312	2889	Hs.127897	NM_005312	ENSG00000107263	RAPGEF1	C3G|GRF2	Rap guanine nucleotide exchange factor 1	protein-coding
chr12-155	chr12	6387790	6387973	+	1	NA	Intergenic	CpG	-31721	NM_018173	55200	Hs.631660	NM_018173	ENSG00000008323	PLEKHG6	MyoGEF	pleckstrin homology and RhoGEF domain containing G6	protein-coding
chr7-127	chr7	56174193	56174403	+	1	NA	promoter-TSS (NM_016139)	promoter-TSS (NM_016139)	25	NM_016139	51142	Hs.389996	NM_016139	ENSG00000106153	CHCHD2	C7orf17|MIX17B|MNRR1|NS2TP|PARK22	coiled-coil-helix-coiled-coil-helix domain containing 2	protein-coding
chr5-429	chr5	133847696	133847889	+	1	NA	Intergenic	Intergenic	5549	NR_105045	101927934	Hs.535775	NR_105045	ENSG00000251169	LINC01843	-	long intergenic non-protein coding RNA 1843	ncRNA
chr17-5	chr17	49021886	49022086	+	1	NA	Intergenic	CpG	-76647	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
chr16-112	chr16	84133296	84133516	+	1	NA	intron (NM_003791, intron 2 of 22)	intron (NM_003791, intron 2 of 22)	17142	NM_003791	8720	Hs.75890	NM_003791	ENSG00000140943	MBTPS1	PCSK8|S1P|SKI-1	membrane bound transcription factor peptidase, site 1	protein-coding
chr2-357	chr2	85934511	85934719	+	1	NA	Intergenic	Tigger3a|DNA|TcMar-Tigger	13201	NM_006433	10578	Hs.105806	NM_006433	ENSG00000115523	GNLY	D2S69E|LAG-2|LAG2|NKG5|TLA519	granulysin	protein-coding
chr17-1392	chr17	48157100	48157306	+	1	NA	intron (NM_002204, intron 21 of 25)	intron (NM_002204, intron 21 of 25)	-14898	NM_001199898	5164	Hs.256667	NM_002611	ENSG00000005882	PDK2	PDHK2|PDKII	pyruvate dehydrogenase kinase 2	protein-coding
chr16-230	chr16	2278599	2278721	+	1	NA	intron (NM_004424, intron 2 of 13)	intron (NM_004424, intron 2 of 13)	5171	NM_001288776	1877	Hs.513268	NM_004424	ENSG00000167967	E4F1	E4F	E4F transcription factor 1	protein-coding
chr22-143	chr22	44928595	44928800	+	1	NA	Intergenic	L1ME3A|LINE|L1	-34692	NM_032287	84247	Hs.744991	NM_032287	ENSG00000188636	RTL6	LDOC1L|Mar6|Mart6|SIRH3|dJ1033E15.2	retrotransposon Gag like 6	protein-coding
chr12-43	chr12	53319996	53320208	+	1	NA	intron (NM_001256293, intron 1 of 8)	intron (NM_001256293, intron 1 of 8)	151	NM_001256282	3856	Hs.533782	NM_002273	ENSG00000170421	KRT8	CARD2|CK-8|CK8|CYK8|K2C8|K8|KO	keratin 8	protein-coding
chr8-1	chr8	103613212	103613412	+	1	NA	Intergenic	CpG	49464	NM_024410	4956	Hs.159274	NM_024410	ENSG00000155087	ODF1	CT133|HSPB10|ODF|ODF2|ODF27|ODFP|ODFPG|ODFPGA|ODFPGB|RT7|SODF	outer dense fiber of sperm tails 1	protein-coding
chr8-14	chr8	97506061	97506268	+	1	NA	5' UTR (NM_002998, exon 1 of 5)	5' UTR (NM_002998, exon 1 of 5)	282	NM_002998	6383	Hs.1501	NM_002998	ENSG00000169439	SDC2	CD362|HSPG|HSPG1|SYND2	syndecan 2	protein-coding
chr11-232	chr11	70049131	70049311	+	1	NA	promoter-TSS (NM_003824)	promoter-TSS (NM_003824)	-48	NM_003824	8772	Hs.86131	NM_003824	ENSG00000168040	FADD	GIG3|MORT1	Fas associated via death domain	protein-coding
chr16-59	chr16	70414462	70414682	+	1	NA	3' UTR (NM_006927, exon 7 of 7)	3' UTR (NM_006927, exon 7 of 7)	33840	NM_001320525	55308	Hs.656037	NM_018332	ENSG00000168872	DDX19A	DDX19-DDX19L|DDX19L	DEAD-box helicase 19A	protein-coding
chr7-3	chr7	47615652	47615864	+	1	NA	intron (NM_022748, intron 1 of 30)	intron (NM_022748, intron 1 of 30)	5984	NM_022748	64759	Hs.520814	NM_022748	ENSG00000136205	TNS3	TEM6|TENS1	tensin 3	protein-coding
chr20-1375	chr20	44622098	44622301	+	1	NA	Intergenic	Intergenic	-15348	NM_004994	4318	Hs.297413	NM_004994	ENSG00000100985	MMP9	CLG4B|GELB|MANDP2|MMP-9	matrix metallopeptidase 9	protein-coding
chr9-71	chr9	94877584	94877804	+	1	NA	promoter-TSS (NM_001281303)	promoter-TSS (NM_001281303)	62	NM_178324	10558	Hs.90458	NM_006415	ENSG00000090054	SPTLC1	HSAN1|HSN1|LBC1|LCB1|SPT1|SPTI	serine palmitoyltransferase long chain base subunit 1	protein-coding
chr16-493	chr16	89648576	89648767	+	1	NA	intron (NM_014427, intron 3 of 16)	intron (NM_014427, intron 3 of 16)	6495	NM_153636	27132	Hs.461775	NM_014427	ENSG00000178773	CPNE7	-	copine 7	protein-coding
chr11-70	chr11	75044953	75045160	+	1	NA	intron (NM_004041, intron 1 of 15)	intron (NM_004041, intron 1 of 15)	1174	NR_029891	442900		NR_029891	ENSG00000199090	MIR326	MIRN326|hsa-mir-326|mir-326	microRNA 326	ncRNA
chr12-50	chr12	69863975	69864177	+	1	NA	promoter-TSS (NM_001278355)	promoter-TSS (NM_001278355)	-53	NM_001278354	10818	Hs.593446	NM_006654	ENSG00000166225	FRS2	FRS1A|FRS2A|FRS2alpha|SNT|SNT-1|SNT1	fibroblast growth factor receptor substrate 2	protein-coding
chr7-644	chr7	155437319	155437539	+	1	NA	promoter-TSS (NR_126344)	promoter-TSS (NR_126344)	226	NM_053043	155435	Hs.591815	NM_053043	ENSG00000184863	RBM33	PRR8	RNA binding motif protein 33	protein-coding
chr12-441	chr12	53689312	53689519	+	1	NA	exon (NM_002624, exon 1 of 6)	exon (NM_002624, exon 1 of 6)	180	NM_002624	5204	Hs.655327	NM_002624	ENSG00000123349	PFDN5	MM-1|MM1|PFD5	prefoldin subunit 5	protein-coding
chr2-114	chr2	55646982	55647114	+	1	NA	promoter-TSS (NM_001254943)	promoter-TSS (NM_001254943)	9	NM_001135597	55704	Hs.292925	NM_018084	ENSG00000115355	CCDC88A	APE|GIRDIN|GIV|GRDN|HkRP1|KIAA1212|PEHO|PEHOL	coiled-coil domain containing 88A	protein-coding
chr16-651	chr16	31519659	31519812	+	1	NA	promoter-TSS (NM_022744)	promoter-TSS (NM_022744)	5	NM_022744	64755	Hs.9003	NM_022744	ENSG00000140688	C16orf58	RUS	chromosome 16 open reading frame 58	protein-coding
chr4-255	chr4	171011200	171011366	+	1	NA	promoter-TSS (NM_182662)	promoter-TSS (NM_182662)	89	NM_001286682	51166	Hs.529735	NM_016228	ENSG00000109576	AADAT	KAT2|KATII|KYAT2	aminoadipate aminotransferase	protein-coding
chr16-11	chr16	740358	740559	+	1	NA	promoter-TSS (NM_032259)	promoter-TSS (NM_032259)	-34	NM_032259	84219	Hs.459632	NM_032259	ENSG00000127580	WDR24	C16orf21|JFP7	WD repeat domain 24	protein-coding
chr3-608	chr3	162729575	162729794	+	1	NA	Intergenic	AluSx1|SINE|Alu	291405	NR_033945	647107	Hs.408584	NR_033945	ENSG00000241369	LINC01192	CT64	long intergenic non-protein coding RNA 1192	ncRNA
chr10-18	chr10	80687131	80687334	+	1	NA	Intergenic	Intergenic	139973	NR_024429	283050	Hs.309176	NR_015429	ENSG00000224596	ZMIZ1-AS1	-	ZMIZ1 antisense RNA 1	ncRNA
chr1-109	chr1	16502467	16502657	+	1	NA	Intergenic	Intergenic	-19958	NM_004431	1969	Hs.171596	NM_004431	ENSG00000142627	EPHA2	ARCC2|CTPA|CTPP1|CTRCT6|ECK	EPH receptor A2	protein-coding
chr1-17	chr1	109782810	109783020	+	1	NA	Intergenic	Intergenic	-9726	NM_001408	1952	Hs.57652	NM_001408	ENSG00000143126	CELSR2	ADGRC2|CDHF10|EGFL2|Flamingo1|MEGF3	cadherin EGF LAG seven-pass G-type receptor 2	protein-coding
chr14-19	chr14	53570724	53570920	+	1	NA	intron (NM_030637, intron 1 of 11)	AluJb|SINE|Alu	49224	NM_001160148	80821	Hs.125525	NM_030637	ENSG00000100523	DDHD1	PA-PLA1|PAPLA1|SPG28	DDHD domain containing 1	protein-coding
chr14-264	chr14	77383529	77383726	+	1	NA	Intergenic	Intergenic	-42354	NR_133913	105370578	Hs.574184	NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
chr11-164	chr11	72903456	72903676	+	1	NA	Intergenic	Intergenic	-25777	NM_176072	5029	Hs.339	NM_002564	ENSG00000175591	P2RY2	HP2U|P2RU1|P2U|P2U1|P2UR|P2Y2|P2Y2R	purinergic receptor P2Y2	protein-coding
chr1-70	chr1	201368619	201368726	+	1	NA	promoter-TSS (NM_005558)	promoter-TSS (NM_005558)	-3	NM_005558	3898	Hs.519035	NM_005558	ENSG00000159166	LAD1	LadA	ladinin 1	protein-coding
chr14-68	chr14	105557952	105558143	+	1	NA	Intergenic	Intergenic	-2437	NR_110546	102723354	Hs.569410	NR_110546		LINC02298	-	long intergenic non-protein coding RNA 2298	ncRNA
chr15-561	chr15	96596417	96596525	+	1	NA	Intergenic	Intergenic	-272686	NM_001145155	7026	Hs.347991	NM_021005	ENSG00000185551	NR2F2	ARP1|CHTD4|COUPTF2|COUPTFB|COUPTFII|NF-E3|NR2F1|SVP40|TFCOUP2	nuclear receptor subfamily 2 group F member 2	protein-coding
chr1-556	chr1	166572669	166572762	+	1	NA	promoter-TSS (NR_002925)	promoter-TSS (NR_002925)	-438	NR_002925	116123	Hs.348539	NM_138784	ENSG00000215834	FMO9P	-	flavin containing monooxygenase 9 pseudogene	pseudo
chr2-193	chr2	11652925	11653145	+	1	NA	Intergenic	Intergenic	-21207	NM_014668	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
chr9-624	chr9	140509698	140509900	+	1	NA	TTS (NM_001317968)	TTS (NM_001317968)	3182	NR_122036	85026	Hs.522520	NM_032937	ENSG00000203993	ARRDC1-AS1	C9orf37	ARRDC1 antisense RNA 1	ncRNA
chr3-178	chr3	192569710	192569930	+	1	NA	intron (NM_178496, intron 1 of 1)	intron (NM_178496, intron 1 of 1)	66130	NM_178496	151963	Hs.151443	NM_178496	ENSG00000180611	MB21D2	C3orf59	Mab-21 domain containing 2	protein-coding
chrX-6	chrX	9431152	9431272	+	1	NA	promoter-TSS (NM_001139466)	promoter-TSS (NM_001139466)	-123	NM_001139468	6907	Hs.495656	NM_005647	ENSG00000101849	TBL1X	EBI|SMAP55|TBL1	transducin beta like 1 X-linked	protein-coding
chr6-97	chr6	122943935	122944132	+	1	NA	intron (NM_032471, intron 1 of 3)	intron (NM_032471, intron 1 of 3)	12656	NM_181795	5570	Hs.741340	NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding
chr11-134	chr11	34661945	34662112	+	1	NA	intron (NM_001206616, intron 1 of 8)	intron (NM_001206616, intron 1 of 8)	8017	NM_001206616	26298	Hs.653859	NM_012153	ENSG00000135373	EHF	ESE3|ESE3B|ESEJ	ETS homologous factor	protein-coding
chr19-31	chr19	4124030	4124208	+	1	NA	promoter-TSS (NM_030662)	promoter-TSS (NM_030662)	7	NM_030662	5605	Hs.465627	NM_030662	ENSG00000126934	MAP2K2	CFC4|MAPKK2|MEK2|MKK2|PRKMK2	mitogen-activated protein kinase kinase 2	protein-coding
chr16-429	chr16	68036496	68036674	+	1	NA	Intergenic	Intergenic	-2096	NR_136706	64174	Hs.372633	NM_022355	ENSG00000167261	DPEP2	MBD2	dipeptidase 2	protein-coding
chr10-39	chr10	7830212	7830319	+	1	NA	promoter-TSS (NR_045609)	promoter-TSS (NR_045609)	198	NM_001320886	509	Hs.271135	NM_005174	ENSG00000165629	ATP5F1C	ATP5C|ATP5C1|ATP5CL1	ATP synthase F1 subunit gamma	protein-coding
chr12-19	chr12	123560447	123560631	+	1	NA	intron (NM_001300801, intron 1 of 24)	intron (NM_001300801, intron 1 of 24)	-5392	NR_038290	100507091	Hs.683912	NR_038290	ENSG00000251497	PITPNM2-AS1	-	PITPNM2 antisense RNA 1	ncRNA
chr16-18	chr16	18813041	18813235	+	1	NA	promoter-TSS (NM_015161)	promoter-TSS (NM_015161)	-138	NM_015161	23204	Hs.634882	NM_015161	ENSG00000170540	ARL6IP1	AIP1|ARL6IP|ARMER|SPG61	ADP ribosylation factor like GTPase 6 interacting protein 1	protein-coding
chr16-217	chr16	89172313	89172429	+	1	NA	intron (NM_174917, intron 4 of 10)	intron (NM_174917, intron 4 of 10)	12154	NR_147928	197322	Hs.461727	NM_174917	ENSG00000176715	ACSF3	-	acyl-CoA synthetase family member 3	protein-coding
